ZIP,pop_density,urban
2332,644.4084,False
2333,820.099,False
2338,480.1512,False
2339,911.3862,False
2341,688.9477,False
2343,1566.403,True
2346,344.26,False
2347,372.8413,False
2351,1668.72,True
2356,926.0128,False
2357,2664.421,True
2359,830.2789,False
2360,603.6875,False
2364,694.5389,False
2366,200.7135,False
2367,195.448,False
2368,3315.735,True
2370,1713.059,True
2375,659.7586,False
2379,457.4041,False
2382,2120.37,True
2420,2189.25,True
2421,1856.481,True
2445,7986.147,True
2446,22607.6,True
2451,3284.671,True
2452,4117.815,True
2453,8307.502,True
2457,10291.24,True
2458,6383.345,True
2459,3817.148,True
2460,7051.359,True
2461,5003.471,True
2462,2627.215,True
2464,5135.177,True
2465,5179.762,True
2466,4786.615,True
2467,4827.522,True
2468,3860.025,True
2472,8273.076,True
2474,8958.662,True
2476,8016.188,True
2478,5452.583,True
2481,2896.49,True
2482,2577.989,True
2492,2106.28,True
2493,704.3373,False
2494,3536.745,True
2532,839.9894,False
2534,399.3713,False
2535,61.99144,False
2536,698.7923,False
2537,537.3366,False
2538,661.226,False
2539,157.3114,False
2540,795.8511,False
2542,28.28344,False
2543,84.87827,False
2553,964.9216,False
2554,262.915,False
2556,736.154,False
2557,642.0538,False
2558,1075.602,True
2559,867.5722,False
2561,777.7366,False
2562,937.337,False
2563,736.2723,False
2564,45.07395,False
2568,607.7843,False
2571,564.2206,False
2575,102.557,False
2576,487.9598,False
2584,120.2446,False
2601,1672.613,True
2630,554.5545,False
2631,444.2393,False
2632,1427.981,True
2633,509.5291,False
2635,621.5872,False
2637,167.2929,False
2638,591.2094,False
2639,921.7242,False
2641,129.8314,False
2642,352.8106,False
2643,4.75269,False
2644,1220.356,True
2645,561.9802,False
2646,683.1506,False
2647,238.5477,False
2648,691.2706,False
2649,603.4001,False
2650,845.162,False
2651,385.1093,False
2652,110.7802,False
2653,490.3221,False
2655,548.897,False
2657,306.2751,False
2659,391.5341,False
2660,827.791,False
2663,88.50179,False
2664,1356.2,True
2666,59.59192,False
2667,160.1772,False
2668,211.7261,False
2669,284.2477,False
2670,652.3832,False
2671,422.62,False
2672,313.5755,False
2673,830.7095,False
2675,709.8945,False
2702,281.6566,False
2703,1639.179,True
2713,11.86699,False
2715,285.4373,False
2717,243.2654,False
2718,606.567,False
2719,1299.33,True
2720,2809.96,True
2721,6335.507,True
2723,8973.744,True
2724,9244.908,True
2725,1010.82,True
2726,2872.005,True
2738,355.8137,False
2739,355.9417,False
2740,7703.751,True
2743,563.5244,False
2744,8685.843,True
2745,2394.582,True
2746,7018.082,True
2747,471.7653,False
2748,534.983,False
2760,1501.641,True
2762,794.2925,False
2763,2080.561,True
2764,374.0007,False
2766,696.1701,False
2767,578.1423,False
2769,252.142,False
2770,160.1131,False
2771,782.5043,False
2777,711.5366,False
2779,396.4774,False
2780,1508.491,True
2790,298.2289,False
2791,167.9947,False
2802,5518.208,True
2804,220.6581,False
2806,1981.699,True
2807,99.76168,False
2808,279.7093,False
2809,2276.922,True
2812,251.4741,False
2813,213.1605,False
2814,163.6893,False
2815,31.16053,False
2816,863.9106,False
2817,121.7085,False
2818,827.8649,False
2822,115.7414,False
2825,96.86772,False
2826,276.2044,False
2827,96.44525,False
2828,1551.349,True
2830,325.6544,False
2831,331.7774,False
2832,224.6151,False
2833,88.45294,False
2835,578.3426,False
2836,302.5246,False
2837,170.7437,False
2838,2712.223,True
2839,333.9217,False
2840,3204.399,True
2841,2771.533,True
2842,1264.683,True
2852,723.7571,False
2857,231.6901,False
2858,1145.746,True
2859,248.8606,False
2860,8405.443,True
2861,7358.065,True
2863,16132.73,True
2864,1288.975,True
2865,989.3489,False
2871,1006.064,True
2872,39.34055,False
2873,77.63361,False
2874,436.9062,False
2875,369.0998,False
2876,1866.237,True
2878,544.4265,False
2879,544.6465,False
2881,2204.781,True
2882,1050.992,True
2885,1718.955,True
2886,1898.219,True
2888,3374.358,True
2889,3210.245,True
2891,812.4498,False
2892,161.8619,False
2893,3757.339,True
2894,174.1777,False
2895,5325.416,True
2896,503.0987,False
2898,121.7451,False
2903,5823.062,True
2904,5672.798,True
2905,6839.804,True
2906,8838.854,True
2907,12524.73,True
2908,12064.6,True
2909,12506.87,True
2910,5989.731,True
2911,6364.372,True
2912,35425.02,True
2914,4497.233,True
2915,2984.968,True
2916,3387.683,True
2917,657.0385,False
2919,1239.982,True
2920,4151.473,True
2921,929.5181,False
3031,325.7454,False
3032,203.998,False
3033,257.9693,False
3034,119.7043,False
3036,185.9594,False
3037,89.43141,False
3038,932.6005,False
3042,255.5942,False
3043,47.28173,False
3044,255.435,False
3045,382.2763,False
3046,90.37406,False
3047,62.20358,False
3048,115.4169,False
3049,243.458,False
3051,874.4195,False
3052,553.7449,False
3053,590.2254,False
3054,787.0862,False
3055,609.4885,False
3057,161.3801,False
3060,4572.411,True
3062,2224.809,True
3063,1977.682,True
3064,3468.518,True
3070,124.1569,False
3071,157.5395,False
3076,497.268,False
3077,352.7493,False
3079,1167.165,True
3082,58.25482,False
3084,66.98141,False
3086,139.2546,False
3087,526.1428,False
3101,3517.266,True
3102,3520.866,True
3103,3810.063,True
3104,3943.672,True
3106,377.9997,False
3109,1385.242,True
3110,659.7786,False
3215,4.414551,False
3216,60.50165,False
3217,199.8367,False
3218,79.09843,False
3220,238.4681,False
3221,50.25394,False
3222,77.80173,False
3223,45.96401,False
3224,55.29977,False
3225,121.5478,False
3226,78.4671,False
3227,18.95443,False
3229,129.1588,False
3230,30.52081,False
3231,101.4809,False
3233,247.134,False
3234,135.7945,False
3235,289.3439,False
3237,55.98085,False
3238,37.83436,False
3240,28.59968,False
3241,21.96306,False
3242,110.1161,False
3243,44.48528,False
3244,97.92889,False
3245,67.53319,False
3246,802.0876,False
3249,183.7008,False
3251,8.934212,False
3253,161.488,False
3254,67.89389,False
3255,50.73809,False
3256,59.96408,False
3257,205.4274,False
3258,120.1974,False
3259,14.36017,False
3260,32.30201,False
3261,153.0132,False
3262,17.01863,False
3263,167.7412,False
3264,200.0874,False
3266,22.26129,False
3268,40.50738,False
3269,62.61751,False
3273,49.64805,False
3275,265.0087,False
3276,211.1901,False
3278,46.7875,False
