zip,qualified,kw_total
16508,5709,65224.25
16509,7484,177914.75
16510,7501,133371.5
16511,3119,53086
16515,44,2202.75
16531,61,15700.25
16534,1,817
16546,91,7435.75
16550,3,509.5
16563,18,432
16565,20,632.5
16601,10188,152005.75
16602,10474,165823.25
16635,4604,97513
16636,91,969.5
16637,784,10955.75
16648,5071,92104
16665,58,774.25
16669,1,17.5
16673,1323,24066.75
16801,4827,123609.5
16802,30,3886.75
16803,4687,104808
16823,239,3719.25
16865,158,2668
16868,162,1471
16870,7,1321.5
17003,2531,45946.75
17011,9708,219306.25
17019,15,115.25
17022,339,15619.5
17025,5067,72502
17028,56,1354
17033,3868,92847.5
17034,880,9891.5
17036,5116,85441.5
17038,8,112.5
17042,10223,197830.25
17043,2131,41467.5
17046,7513,117474
17050,10411,257527.5
17053,687,6863.5
17055,9804,243687.5
17057,6326,167647
17067,318,5296.5
17070,4856,71569
17078,4472,78895.5
17089,3,1217.75
17093,102,1251
17101,401,19235
17102,2208,22922.25
17103,3595,47326.75
17104,5269,88515
17105,6,1603.25
17107,20,5402
17109,6285,131612.75
17110,7204,148057.5
17111,8816,201312.5
17112,9536,193337.5
17113,3726,56332.5
17120,13,3083
17121,2,671
17124,1,145
17128,1,437.25
17130,6,1100
17225,316,7617
17263,7,91.5
17268,47,664.75
17319,2265,33930.75
17325,4475,89240
17339,542,27403.75
17340,25,324.25
17345,1816,60588.75
17347,1390,22786
17360,1,11
17370,261,2743.75
17401,4463,58474.75
17402,2548,68752
17403,10131,188982.25
17404,6416,127340.5
17406,2798,157435
17407,405,5692.5
17408,79,1445.75
17501,1328,16115.5
17502,2,14
17505,511,11899.25
17508,22,186.25
17512,319,7096.25
17516,318,4579.75
17520,1446,26685
17522,3408,64557
17529,347,6103.25
17538,1812,32795.5
17540,3012,95352.75
17543,9379,166104
17545,3278,71223.5
17551,2215,33969
17552,32,1174.25
17554,2286,38879.5
17557,182,5064.25
17560,3,85.5
17562,224,3472.75
17568,65,1011.75
17572,799,15747.25
17576,46,596.5
17579,1181,16302.25
17580,54,482.75
17582,166,3921.5
17584,1813,37195.25
17601,13892,389850
17602,11162,186511.5
17603,15963,246678.25
17604,8,2883.75
17701,11957,255194.75
17702,2904,38733.25
17728,128,1486
17744,12,377.25
17754,2862,63303
17756,226,26882
17801,3554,61287.75
17815,5261,136336
17831,3,23.75
17837,3183,73601.75
17847,295,12124.75
17850,206,2081
17857,2028,37948
17859,197,2093
17870,3259,90081.5
17876,624,14135
17889,261,4743.5
17901,6060,102852.75
17923,95,693
17951,109,910.25
17954,1504,12761.5
17965,684,7271.75
17970,1306,11387.75
18011,1289,22353.5
18013,6294,80429
18014,3987,76789.5
18015,7453,127129.75
18016,1,324
18017,11428,245405.25
18018,8177,107304
18020,6976,173218.75
18025,5,2409.25
18031,2422,93985.5
18032,2922,34272.5
18034,2675,49565.5
18035,109,1553
18036,3196,45636.5
18037,2881,38846.5
18038,204,2831.75
18040,5901,132931
18042,9635,130441
18045,9392,200739.25
18046,9,95
18049,5981,87438.25
18051,1048,16859.5
18052,8545,168763.5
18053,284,3903.25
18055,3442,44571.75
18059,436,5581.5
18062,7223,130101.75
18064,8678,136331.75
18065,57,929.25
18066,31,441.25
18067,6787,108148.25
18069,3275,68054.25
18072,2425,36629
18074,961,13104.5
18077,54,577.25
18078,2755,49874
18079,148,1272
18080,3953,56077.5
18083,101,1752
18085,378,6171.25
18086,32,243.75
18087,229,8251.5
18088,3013,48704
18091,1236,21181
18092,373,4912.25
18101,664,16227
18102,8980,89815
18103,12379,224226.5
18104,13216,225777.5
18106,2694,189687.75
18109,5114,161986.75
18195,45,10644.75
18343,240,5451.25
18353,12,155.5
18360,45,460.75
18403,2873,64791.75
18411,1357,19940
